title,country,awards
Where the Wild Things Are,USA,0
Where the Wild Things Are,Australia,0
Where the Wild Things Are,Germany,0
Whip It,USA,0
X-Men Origins: Wolverine,USA,0
Youth in Revolt,USA,0
Zombieland,USA,0
21,USA,0
Appaloosa,USA,0
Australia,Australia,0
Australia,USA,0
Australia,UK,0
Baby Mama,USA,0
Be Kind Rewind,UK,0
Be Kind Rewind,USA,0
Bedtime Stories,USA,0
Blindness,Canada,0
Blindness,Brazil,0
Blindness,Japan,0
Bolt,USA,0
Burn After Reading,USA,0
Burn After Reading,UK,0
Burn After Reading,France,0
Changeling,USA,0
Che: Part One,France,0
Che: Part One,Spain,0
Che: Part One,USA,0
City of Ember,USA,0
Cloverfield,USA,0
Death Race,USA,0
Death Race,Germany,0
Death Race,UK,0
Defiance,USA,0
"Definitely, Maybe",UK,0
"Definitely, Maybe",USA,0
"Definitely, Maybe",France,0
Doubt,USA,0
Eagle Eye,USA,0
Eagle Eye,Germany,0
Easy Virtue,UK,0
Easy Virtue,Canada,0
Forgetting Sarah Marshall,USA,0
Four Christmases,USA,0
Four Christmases,Germany,0
Frost/Nixon,USA,0
Frost/Nixon,UK,0
Frost/Nixon,France,0
Frozen River,USA,0
Ghost Town,USA,0
Gran Torino,USA,0
Gran Torino,Germany,0
Hancock,USA,0
High School Musical 3: Senior Year,USA,0
Igor,USA,0
Igor,France,0
In Bruges,UK,0
In Bruges,USA,0
Indiana Jones and the Kingdom of the Crystal Skull,USA,0
Iron Man,USA,0
Journey to the Center of the Earth,USA,0
Jumper,USA,0
Jumper,Canada,0
Kung Fu Panda,USA,0
Made of Honor,USA,0
Made of Honor,UK,0
Max Payne,Canada,0
Max Payne,USA,0
Meet Dave,USA,0
Milk,USA,2
Miracle at St. Anna,USA,0
Miracle at St. Anna,Italy,0
Pineapple Express,USA,0
Pontypool,Canada,0
Prom Night,USA,0
Prom Night,Canada,0
Quantum of Solace,UK,0
Quantum of Solace,USA,0
Quarantine,USA,0
Rachel Getting Married,USA,0
Revolutionary Road,USA,0
Revolutionary Road,UK,0
RocknRolla,UK,0
RocknRolla,USA,0
Seven Pounds,USA,0
Sex and the City,USA,0
Slumdog Millionaire,UK,8
Speed Racer,USA,0
Speed Racer,Australia,0
Speed Racer,Germany,0
Step Brothers,USA,0
Sunshine Cleaning,USA,0
"Synecdoche, New York",USA,0
Taken,France,0
Taken,USA,0
Taken,UK,0
The Bank Job,UK,0
The Bank Job,USA,0
The Bank Job,Australia,0
The Brothers Bloom,USA,0
The Chronicles of Narnia: Prince Caspian,USA,0
The Chronicles of Narnia: Prince Caspian,Poland,0
The Chronicles of Narnia: Prince Caspian,Slovenia,0
The Chronicles of Narnia: Prince Caspian,Czech Republic,0
The Curious Case of Benjamin Button,USA,3
The Dark Knight,USA,2
The Dark Knight,UK,2
The Day the Earth Stood Still,USA,0
The Day the Earth Stood Still,Canada,0
The Eye,USA,0
The Eye,Canada,0
The Forbidden Kingdom,USA,0
The Forbidden Kingdom,China,0
The House Bunny,USA,0
The Hurt Locker,USA,6
The Incredible Hulk,USA,0
The Other Boleyn Girl,UK,0
The Other Boleyn Girl,USA,0
The Reader,USA,1
The Reader,Germany,1
The Secret Life of Bees,USA,0
The Sisterhood of the Traveling Pants 2,USA,0
The Sisterhood of the Traveling Pants 2,Greece,0
The Strangers,USA,0
The Women,USA,0
The Wrestler,USA,0
The Wrestler,France,0
Transsiberian,Spain,0
Transsiberian,Germany,0
Transsiberian,UK,0
Transsiberian,Lithuania,0
Tropic Thunder,USA,0
Tropic Thunder,UK,0
Tropic Thunder,Germany,0
Twilight,USA,0
Valkyrie,USA,0
Valkyrie,Germany,0
Vicky Cristina Barcelona,Spain,1
Vicky Cristina Barcelona,USA,1
Waltz with Bashir,Israel,0
Waltz with Bashir,France,0
Waltz with Bashir,Germany,0
Waltz with Bashir,USA,0
Waltz with Bashir,Finland,0
Waltz with Bashir,Switzerland,0
Waltz with Bashir,Belgium,0
Waltz with Bashir,Australia,0
Wanted,USA,0
Wanted,Germany,0
Wendy and Lucy,USA,0
Yes Man,USA,0
