title,country,latitude,longitude
The Fighter,USA,37.0902,-95.7129
The Illusionist,UK,55.3781,-3.4361
The Illusionist,France,46.603354,1.888334
The Karate Kid,USA,37.0902,-95.7129
The Karate Kid,China,35.8617,104.1954
The Kids Are All Right,USA,37.0902,-95.7129
The Killer Inside Me,USA,37.0902,-95.7129
The Killer Inside Me,Sweden,60.1282,18.6435
The Killer Inside Me,UK,55.3781,-3.4361
The Killer Inside Me,Canada,56.1304,-106.3468
The Last Airbender,USA,37.0902,-95.7129
The Last Exorcism,USA,37.0902,-95.7129
The Last Exorcism,France,46.603354,1.888334
The Losers,USA,37.0902,-95.7129
The Next Three Days,USA,37.0902,-95.7129
The Next Three Days,France,46.603354,1.888334
The Other Guys,USA,37.0902,-95.7129
The Runaways,USA,37.0902,-95.7129
The Social Network,USA,37.0902,-95.7129
The Spy Next Door,USA,37.0902,-95.7129
The Switch,USA,37.0902,-95.7129
The Tempest,USA,37.0902,-95.7129
The Tourist,USA,37.0902,-95.7129
The Tourist,France,46.603354,1.888334
The Tourist,Italy,41.8719,12.5674
The Town,USA,37.0902,-95.7129
The Twilight Saga: Eclipse,USA,37.0902,-95.7129
The Wolfman,USA,37.0902,-95.7129
Tiny Furniture,USA,37.0902,-95.7129
Toy Story 3,USA,37.0902,-95.7129
True Grit,USA,37.0902,-95.7129
Unstoppable,USA,37.0902,-95.7129
Wall Street: Money Never Sleeps,USA,37.0902,-95.7129
Welcome to the Rileys,UK,55.3781,-3.4361
Welcome to the Rileys,USA,37.0902,-95.7129
Yogi Bear,USA,37.0902,-95.7129
Yogi Bear,New Zealand,-40.9006,174.886
You Again,USA,37.0902,-95.7129
You Will Meet a Tall Dark Stranger,USA,37.0902,-95.7129
You Will Meet a Tall Dark Stranger,Spain,40.4637,-3.7492
(500) Days of Summer,USA,37.0902,-95.7129
17 Again,USA,37.0902,-95.7129
2012,USA,37.0902,-95.7129
9,USA,37.0902,-95.7129
A Perfect Getaway,USA,37.0902,-95.7129
A Serious Man,USA,37.0902,-95.7129
A Serious Man,UK,55.3781,-3.4361
A Serious Man,France,46.603354,1.888334
A Single Man,USA,37.0902,-95.7129
Adam,USA,37.0902,-95.7129
Adventureland,USA,37.0902,-95.7129
Agora,Spain,40.4637,-3.7492
Ajami,Germany,51.1657,10.4515
Ajami,Israel,31.0461,34.8516
All About Steve,USA,37.0902,-95.7129
An Education,UK,55.3781,-3.4361
An Education,USA,37.0902,-95.7129
Armored,USA,37.0902,-95.7129
Astro Boy,Hong Kong,22.3193,114.1694
Astro Boy,USA,37.0902,-95.7129
Astro Boy,Japan,36.2048,138.2529
Avatar,USA,37.0902,-95.7129
Avatar,UK,55.3781,-3.4361
Away We Go,USA,37.0902,-95.7129
Away We Go,UK,55.3781,-3.4361
Bride Wars,USA,37.0902,-95.7129
Bright Star,UK,55.3781,-3.4361
Bright Star,Australia,-25.2744,133.7751
Bright Star,France,46.603354,1.888334
Brothers,USA,37.0902,-95.7129
Capitalism: A Love Story,USA,37.0902,-95.7129
Case 39,USA,37.0902,-95.7129
Case 39,Canada,56.1304,-106.3468
Chloe,USA,37.0902,-95.7129
Chloe,Canada,56.1304,-106.3468
Chloe,France,46.603354,1.888334
Cloudy with a Chance of Meatballs,USA,37.0902,-95.7129
Coraline,USA,37.0902,-95.7129
Daybreakers,Australia,-25.2744,133.7751
Daybreakers,USA,37.0902,-95.7129
Dead Snow,Norway,60.472,8.4689
District 9,USA,37.0902,-95.7129
District 9,New Zealand,-40.9006,174.886
District 9,Canada,56.1304,-106.3468
District 9,South Africa,-30.5595,22.9375
Drag Me to Hell,USA,37.0902,-95.7129
Enter the Void,France,46.603354,1.888334
Enter the Void,Germany,51.1657,10.4515
Enter the Void,Italy,41.8719,12.5674
Enter the Void,Canada,56.1304,-106.3468
Fantastic Mr. Fox,USA,37.0902,-95.7129
Fired Up!,USA,37.0902,-95.7129
Fish Tank,UK,55.3781,-3.4361
Fish Tank,Netherlands,52.1326,5.2913
Friday the 13th,USA,37.0902,-95.7129
Funny People,USA,37.0902,-95.7129
G-Force,USA,37.0902,-95.7129
G.I. Joe: The Rise of Cobra,USA,37.0902,-95.7129
G.I. Joe: The Rise of Cobra,Czech Republic,49.8175,15.47296
Gamer,USA,37.0902,-95.7129
Get Low,USA,37.0902,-95.7129
Get Low,Germany,51.1657,10.4515
Get Low,Poland,51.9194,19.1451
Harry Brown,UK,55.3781,-3.4361
Harry Potter and the Half-Blood Prince,UK,55.3781,-3.4361
Harry Potter and the Half-Blood Prince,USA,37.0902,-95.7129
I Come with the Rain,France,46.603354,1.888334
I Come with the Rain,Hong Kong,22.3193,114.1694
I Come with the Rain,Ireland,53.1424,-7.6921
I Come with the Rain,Spain,40.4637,-3.7492
I Come with the Rain,UK,55.3781,-3.4361
I Love You Phillip Morris,France,46.603354,1.888334
I Love You Phillip Morris,USA,37.0902,-95.7129
"I Love You, Man",USA,37.0902,-95.7129
Ice Age: Dawn of the Dinosaurs,USA,37.0902,-95.7129
Inglourious Basterds,USA,37.0902,-95.7129
Inglourious Basterds,Germany,51.1657,10.4515
Invictus,USA,37.0902,-95.7129
Knowing,USA,37.0902,-95.7129
Knowing,UK,55.3781,-3.4361
Knowing,Australia,-25.2744,133.7751
Law Abiding Citizen,USA,37.0902,-95.7129
Life During Wartime,USA,37.0902,-95.7129
Monsters vs Aliens,USA,37.0902,-95.7129
Moon,UK,55.3781,-3.4361
Mother and Child,USA,37.0902,-95.7129
Mother and Child,Spain,40.4637,-3.7492
Nine,USA,37.0902,-95.7129
Nine,Italy,41.8719,12.5674
Ninja Assassin,USA,37.0902,-95.7129
Ninja Assassin,Germany,51.1657,10.4515
Nowhere Boy,UK,55.3781,-3.4361
